concurrency,worker,index,status,latency_ms,wait_ms,inference_ms,batch_size
16,9,1,200,8892.073,8335.710,551.978,1.00
16,10,1,200,8889.672,8328.624,557.064,1.00
16,11,1,200,8898.317,8335.943,558.235,1.00
16,12,1,200,8898.264,8332.349,562.276,1.00
16,13,1,200,8892.978,8334.590,553.920,1.00
16,14,1,200,8897.829,8333.443,560.532,1.00
16,15,1,200,8900.552,8335.934,560.312,1.00
16,0,2,200,8901.698,8343.733,553.693,1.00
16,1,2,200,8900.140,8341.794,554.042,1.00
16,2,2,200,8907.788,8343.404,560.837,1.00
16,3,2,200,8916.305,8349.195,561.949,1.00
16,4,2,200,8914.673,8357.833,552.371,1.00
16,5,2,200,8905.726,8352.466,549.824,1.00
16,6,2,200,8906.157,8342.753,559.802,1.00
16,7,2,200,8903.731,8345.268,554.545,1.00
