tier,send_s,status,latency_ms,queue_wait_ms,aged,queue_depth_at_enqueue
free,10.4002,200,3129.47,1974.46,0,6.0
paid,10.4620,200,1919.21,786.38,0,7.0
paid,10.5391,200,1843.53,709.65,0,8.0
free,10.6011,503,2.75,nan,0,9.0
paid,10.6160,503,1.59,nan,0,9.0
paid,10.6928,503,2.65,nan,0,9.0
paid,10.7697,503,1.86,nan,0,9.0
free,10.8007,503,1.87,nan,0,9.0
paid,10.8467,503,1.86,nan,0,9.0
paid,10.9237,503,2.34,nan,0,9.0
free,11.0003,503,2.04,nan,0,9.0
paid,11.0008,503,1.86,nan,0,9.0
paid,11.0780,503,3.56,nan,0,9.0
paid,11.1548,503,3.44,nan,0,9.0
free,11.2005,503,2.81,nan,0,9.0
paid,11.2315,503,2.34,nan,0,9.0
paid,11.3087,200,2215.45,1065.39,0,1.0
paid,11.3854,200,2142.11,988.66,0,2.0
free,11.4009,200,2127.41,973.29,0,3.0
paid,11.4624,200,2067.71,911.43,0,4.0
paid,11.5392,200,1988.77,834.51,0,5.0
free,11.6010,200,3051.61,1921.46,0,6.0
paid,11.6158,200,1911.89,759.04,0,7.0
paid,11.6927,200,1834.52,681.35,0,8.0
paid,11.7702,503,3.84,nan,0,9.0
free,11.8013,503,2.90,nan,0,9.0
paid,11.8463,503,2.84,nan,0,9.0
paid,11.9234,503,3.05,nan,0,9.0
paid,12.0007,503,4.46,nan,0,9.0
free,12.0017,503,4.54,nan,0,9.0
paid,12.0784,503,3.09,nan,0,9.0
paid,12.1548,503,2.79,nan,0,9.0
free,12.2008,503,2.58,nan,0,9.0
paid,12.2315,503,2.41,nan,0,9.0
paid,12.3082,503,2.76,nan,0,9.0
paid,12.3855,200,2272.54,1136.51,0,1.0
free,12.4009,200,2259.70,1121.18,0,2.0
paid,12.4624,200,2197.06,1059.26,0,3.0
paid,12.5393,200,2119.10,982.60,0,4.0
free,12.6008,200,3232.00,2049.10,1,5.0
paid,12.6164,200,2040.88,905.74,0,6.0
paid,12.6928,200,1964.83,829.02,0,7.0
paid,12.7694,200,1889.57,752.47,0,8.0
free,12.8007,503,2.48,nan,0,9.0
paid,12.8463,503,2.94,nan,0,9.0
paid,12.9235,503,1.89,nan,0,9.0
paid,13.0006,503,2.95,nan,0,9.0
free,13.0011,503,2.06,nan,0,9.0
paid,13.0777,503,1.93,nan,0,9.0
paid,13.1549,503,3.08,nan,0,9.0
free,13.2011,503,2.47,nan,0,9.0
paid,13.2318,503,3.52,nan,0,9.0
paid,13.3086,503,3.68,nan,0,9.0
paid,13.3855,503,2.09,nan,0,9.0
free,13.4017,503,1.58,nan,0,9.0
paid,13.4634,503,2.49,nan,0,9.0
paid,13.5403,200,2286.80,1109.77,0,1.0
free,13.6017,200,2230.45,1048.00,0,2.0
paid,13.6172,200,2215.93,1032.42,0,3.0
paid,13.6931,200,2140.92,956.19,0,4.0
paid,13.7702,200,2063.47,879.04,0,5.0
free,13.8002,200,3155.18,2024.02,1,6.0
paid,13.8469,200,1985.55,802.05,0,7.0
paid,13.9239,200,1907.83,725.22,0,8.0
free,14.0013,503,6.22,nan,0,9.0
paid,14.0024,503,6.37,nan,0,9.0
paid,14.0780,503,3.22,nan,0,9.0
paid,14.1545,503,2.60,nan,0,9.0
free,14.2003,503,2.27,nan,0,9.0
paid,14.2317,503,1.65,nan,0,9.0
paid,14.3086,503,2.34,nan,0,9.0
paid,14.3851,503,3.08,nan,0,9.0
free,14.4004,503,2.39,nan,0,9.0
paid,14.4630,503,2.99,nan,0,9.0
paid,14.5392,503,2.88,nan,0,9.0
free,14.6004,503,3.64,nan,0,9.0
paid,14.6162,503,3.39,nan,0,9.0
paid,14.6928,200,2261.13,1131.44,0,1.0
paid,14.7698,200,2186.19,1054.08,0,2.0
free,14.8008,200,2154.96,1023.18,0,3.0
paid,14.8467,200,2107.40,977.42,0,4.0
paid,14.9238,200,2028.88,900.51,0,5.0
free,15.0007,200,3130.37,1949.22,0,6.0
paid,15.0018,200,1952.03,821.83,0,7.0
paid,15.0773,200,1878.32,746.85,0,8.0
paid,15.1544,503,3.15,nan,0,9.0
free,15.2007,503,3.60,nan,0,9.0
paid,15.2315,503,2.57,nan,0,9.0
paid,15.3083,503,3.07,nan,0,9.0
paid,15.3856,503,3.04,nan,0,9.0
free,15.4008,503,2.70,nan,0,9.0
paid,15.4637,503,2.87,nan,0,9.0
paid,15.5398,503,3.00,nan,0,9.0
free,15.6012,503,3.30,nan,0,9.0
paid,15.6156,503,2.55,nan,0,9.0
paid,15.6935,503,3.17,nan,0,9.0
paid,15.7699,503,2.90,nan,0,9.0
