tier,send_s,status,latency_ms,queue_wait_ms,aged,queue_depth_at_enqueue
paid,15.4631,503,2.88,nan,0,9.0
paid,15.5393,503,2.71,nan,0,9.0
free,15.6002,503,2.57,nan,0,9.0
paid,15.6169,503,2.13,nan,0,9.0
paid,15.6933,503,2.87,nan,0,9.0
paid,15.7704,503,3.02,nan,0,9.0
free,15.8006,503,2.76,nan,0,9.0
paid,15.8466,503,2.88,nan,0,9.0
paid,15.9238,200,2229.37,1108.21,0,1.0
paid,16.0004,200,2158.07,1030.17,0,2.0
free,16.0014,200,3289.10,2148.39,1,3.0
paid,16.0778,200,2078.86,954.54,0,4.0
paid,16.1548,200,2002.26,877.63,0,5.0
free,16.2007,503,1.75,nan,0,6.0
paid,16.2316,200,1927.77,800.46,0,6.0
paid,16.3081,200,1849.34,723.31,0,7.0
paid,16.3858,200,1772.33,645.47,0,8.0
free,16.4019,503,2.75,nan,0,9.0
paid,16.4619,503,2.01,nan,0,9.0
paid,16.5391,503,2.01,nan,0,9.0
free,16.6012,503,1.96,nan,0,9.0
paid,16.6173,503,1.55,nan,0,9.0
paid,16.6930,503,2.04,nan,0,9.0
paid,16.7703,503,2.09,nan,0,9.0
free,16.8005,503,1.71,nan,0,9.0
paid,16.8464,503,1.80,nan,0,9.0
paid,16.9233,503,1.93,nan,0,9.0
free,17.0005,503,2.50,nan,0,9.0
paid,17.0011,503,2.37,nan,0,9.0
paid,17.0778,200,2214.05,1072.77,0,1.0
paid,17.1544,200,2135.52,995.95,0,2.0
free,17.2002,200,3226.29,2083.89,1,3.0
paid,17.2318,200,2058.36,918.70,0,4.0
paid,17.3084,200,1982.56,842.32,0,5.0
paid,17.3858,200,1903.89,764.98,0,6.0
free,17.4011,503,2.59,nan,0,7.0
paid,17.4619,200,1824.88,689.04,0,7.0
paid,17.5391,200,1751.63,611.54,0,8.0
free,17.6006,503,2.00,nan,0,9.0
paid,17.6167,503,1.47,nan,0,9.0
paid,17.6934,503,3.08,nan,0,9.0
paid,17.7697,503,3.09,nan,0,9.0
free,17.8010,503,2.67,nan,0,9.0
paid,17.8468,503,2.81,nan,0,9.0
paid,17.9239,503,3.09,nan,0,9.0
free,18.0003,503,4.33,nan,0,9.0
paid,18.0012,503,4.36,nan,0,9.0
paid,18.0788,503,3.05,nan,0,9.0
paid,18.1595,200,2272.03,1124.82,0,1.0
free,18.2010,200,3358.69,2222.75,1,2.0
paid,18.2315,200,2201.47,1052.73,0,3.0
paid,18.3080,200,2123.86,976.37,0,4.0
paid,18.3852,200,2047.00,899.16,0,5.0
free,18.4006,503,1.87,nan,0,6.0
paid,18.4627,200,1970.99,821.63,0,6.0
paid,18.5393,200,1893.28,744.52,0,7.0
free,18.6012,503,3.38,nan,0,8.0
paid,18.6158,200,1817.59,669.37,0,8.0
paid,18.6925,503,3.31,nan,0,9.0
paid,18.7701,503,2.84,nan,0,9.0
free,18.8011,503,2.75,nan,0,9.0
paid,18.8471,503,2.86,nan,0,9.0
paid,18.9241,503,2.41,nan,0,9.0
paid,19.0008,503,3.98,nan,0,9.0
free,19.0018,503,4.05,nan,0,9.0
paid,19.0790,503,2.98,nan,0,9.0
paid,19.1553,503,2.97,nan,0,9.0
free,19.2004,503,2.67,nan,0,9.0
paid,19.2313,503,3.01,nan,0,9.0
paid,19.3080,200,2252.71,1116.45,0,1.0
paid,19.3850,200,2173.75,1038.49,0,2.0
free,19.4010,200,3206.13,2149.75,1,3.0
paid,19.4624,200,2095.81,960.69,0,4.0
paid,19.5396,200,2020.57,883.69,0,5.0
free,19.6016,503,2.89,nan,0,6.0
paid,19.6157,200,1942.09,808.29,0,6.0
paid,19.6932,200,1860.10,729.90,0,7.0
paid,19.7702,200,1789.03,653.44,0,8.0
free,19.8006,503,2.90,nan,0,9.0
paid,19.8468,503,3.05,nan,0,9.0
paid,19.9240,503,4.12,nan,0,9.0
