concurrency,worker,index,status,latency_ms,wait_ms,inference_ms,batch_size
16,0,1,200,1692.682,829.713,844.956,8.00
16,6,1,200,1694.914,828.276,844.956,8.00
16,7,1,200,1692.158,827.458,844.956,8.00
16,5,1,200,1694.542,826.605,844.956,8.00
16,8,1,200,1682.298,828.411,836.451,8.00
16,11,1,200,1674.218,823.649,836.451,8.00
16,14,1,200,1679.826,821.278,836.451,8.00
16,13,1,200,1676.941,819.625,836.451,8.00
16,15,1,200,1676.518,822.134,836.451,8.00
16,10,1,200,1683.161,825.390,836.451,8.00
16,12,1,200,1682.703,820.213,836.451,8.00
16,9,1,200,1680.102,819.381,836.451,8.00
16,4,2,200,1679.761,820.619,840.287,8.00
16,3,2,200,1676.534,819.643,840.287,8.00
16,1,2,200,1676.487,819.557,840.287,8.00
16,6,2,200,1673.646,815.514,840.287,8.00
16,0,2,200,1675.714,818.947,840.287,8.00
16,2,2,200,1677.790,817.065,840.287,8.00
16,5,2,200,1673.267,816.061,840.287,8.00
16,7,2,200,1675.154,815.232,840.287,8.00
