tier,send_s,status,latency_ms,queue_wait_ms,aged,queue_depth_at_enqueue
paid,14.1440,200,1631.27,782.06,0,8.0
paid,14.2155,200,1560.20,710.33,0,9.0
free,14.2511,200,3207.35,2360.67,1,10.0
paid,14.2869,200,2332.60,1479.21,0,11.0
paid,14.3584,200,2261.56,1407.25,0,12.0
paid,14.4298,200,2190.55,1335.93,0,13.0
free,14.5012,200,2957.63,2109.01,1,14.0
paid,14.5023,200,2116.20,1263.60,0,15.0
paid,14.5726,503,3.26,nan,0,16.0
paid,14.6440,503,2.97,nan,0,16.0
paid,14.7150,503,2.98,nan,0,16.0
free,14.7512,503,3.15,nan,0,16.0
paid,14.7868,503,2.69,nan,0,16.0
paid,14.8583,503,3.19,nan,0,16.0
paid,14.9299,200,1688.96,830.58,0,8.0
paid,15.0013,200,1619.70,763.05,0,9.0
free,15.0027,200,3298.28,2446.61,1,10.0
paid,15.0726,200,2387.02,1538.53,0,11.0
paid,15.1441,200,2316.20,1467.24,0,12.0
paid,15.2154,200,2243.81,1396.07,0,13.0
free,15.2511,200,3048.74,2199.42,1,14.0
paid,15.2869,200,2168.35,1324.86,0,15.0
paid,15.3583,503,2.87,nan,0,16.0
paid,15.4298,503,4.49,nan,0,16.0
free,15.5005,503,3.63,nan,0,16.0
paid,15.5015,503,3.22,nan,0,16.0
paid,15.5727,503,3.99,nan,0,16.0
paid,15.6441,503,3.21,nan,0,16.0
paid,15.7155,503,3.70,nan,0,16.0
free,15.7512,503,2.82,nan,0,16.0
paid,15.7858,200,1669.73,826.07,0,8.0
paid,15.8583,200,1599.80,752.78,0,9.0
paid,15.9298,200,2367.86,1519.68,0,10.0
free,16.0012,200,3140.19,2290.00,1,11.0
paid,16.0025,200,2294.77,1447.15,0,12.0
paid,16.0727,200,2228.85,1377.14,0,13.0
paid,16.1440,200,2156.21,1306.08,0,14.0
paid,16.2156,200,2085.03,1233.86,0,15.0
free,16.2503,503,3.44,nan,0,16.0
paid,16.2869,503,3.28,nan,0,16.0
paid,16.3584,503,3.07,nan,0,16.0
paid,16.4298,503,3.37,nan,0,16.0
free,16.5004,503,3.66,nan,0,16.0
paid,16.5014,503,3.34,nan,0,16.0
paid,16.5726,503,3.12,nan,0,16.0
paid,16.6440,200,1657.96,806.04,0,8.0
paid,16.7155,200,2430.16,1577.20,0,9.0
free,16.7511,200,3236.00,2385.32,1,10.0
paid,16.7869,200,2359.23,1505.96,0,11.0
paid,16.8583,200,2286.95,1434.64,0,12.0
paid,16.9298,200,2211.96,1362.47,0,13.0
free,17.0012,200,2982.77,2134.21,1,14.0
paid,17.0024,200,2141.98,1290.31,0,15.0
paid,17.0724,503,4.06,nan,0,16.0
paid,17.1440,503,3.04,nan,0,16.0
paid,17.2154,503,2.87,nan,0,16.0
free,17.2511,503,2.19,nan,0,16.0
paid,17.2868,503,3.05,nan,0,16.0
paid,17.3580,503,2.73,nan,0,16.0
paid,17.4298,503,3.55,nan,0,16.0
free,17.5013,200,3325.74,2476.07,1,8.0
paid,17.5027,200,1642.02,789.50,0,9.0
paid,17.5723,200,1574.27,720.33,0,10.0
paid,17.6441,200,2343.85,1492.29,0,11.0
paid,17.7154,200,2272.87,1420.55,0,12.0
free,17.7512,200,3080.69,2228.15,1,13.0
paid,17.7869,200,2200.68,1349.76,0,14.0
paid,17.8583,200,2126.05,1278.48,0,15.0
paid,17.9298,503,4.23,nan,0,16.0
free,18.0012,503,3.83,nan,0,16.0
paid,18.0022,503,3.54,nan,0,16.0
paid,18.0726,503,2.73,nan,0,16.0
paid,18.1440,503,2.60,nan,0,16.0
paid,18.2155,503,3.43,nan,0,16.0
free,18.2512,503,3.13,nan,0,16.0
paid,18.2868,503,2.97,nan,0,16.0
paid,18.3583,200,1630.43,778.00,0,8.0
paid,18.4298,200,1559.60,706.23,0,9.0
free,18.5008,200,3164.29,2318.48,1,10.0
paid,18.5022,200,2327.40,1476.61,0,11.0
paid,18.5726,200,2253.81,1406.57,0,12.0
paid,18.6440,200,2187.33,1335.44,0,13.0
paid,18.7151,200,2115.19,1264.09,0,14.0
free,18.7511,200,2917.71,2069.97,1,15.0
paid,18.7861,503,3.13,nan,0,16.0
paid,18.8583,503,3.48,nan,0,16.0
paid,18.9298,503,3.46,nan,0,16.0
free,19.0012,503,4.53,nan,0,16.0
paid,19.0023,503,4.10,nan,0,16.0
paid,19.0721,503,3.06,nan,0,16.0
paid,19.1466,200,1684.17,832.86,0,8.0
paid,19.2155,200,1616.86,763.30,0,9.0
free,19.2512,200,2421.14,1569.37,0,10.0
paid,19.2868,200,2384.79,1533.98,0,11.0
paid,19.3578,200,2308.15,1462.76,0,12.0
paid,19.4298,200,2241.21,1390.61,0,13.0
free,19.5012,200,2169.16,1318.37,0,14.0
paid,19.5023,200,2167.29,1318.04,0,15.0
paid,19.5726,503,3.08,nan,0,16.0
paid,19.6436,503,3.38,nan,0,16.0
paid,19.7154,503,3.24,nan,0,16.0
free,19.7511,503,2.84,nan,0,16.0
paid,19.7869,503,2.91,nan,0,16.0
paid,19.8583,503,3.10,nan,0,16.0
paid,19.9298,503,4.96,nan,0,16.0
